Date,Open,High,Low,Close,Adj Close,Volume,rsi,ema,Tendencia,rsi_estado
1990-01-02,452.9,459.3,452.7,459.3,459.3,110720000,,,Bajista,
1990-01-03,461.1,461.6,460.0,460.9,460.9,152660000,,,Bajista,
1990-01-04,460.4,460.8,456.9,459.4,459.4,147950000,,,Bajista,
1990-01-05,457.9,459.4,457.8,458.2,458.2,137230000,,,Bajista,
1990-01-08,457.1,458.7,456.5,458.7,458.7,115500000,,,Bajista,
1990-01-09,459.2,459.6,456.6,456.8,456.8,131130000,,,Bajista,
1990-01-10,455.1,456.3,450.6,450.7,450.7,143890000,,,Bajista,
1990-01-11,451.7,452.5,448.8,448.9,448.9,133000000,,,Bajista,
1990-01-12,442.7,446.6,439.3,439.7,439.7,143500000,,,Bajista,
1990-01-15,438.2,439.4,436.4,436.6,436.6,108060000,,,Bajista,
1990-01-16,432.9,440.2,432.1,440.2,440.2,147590000,,,Bajista,
1990-01-17,440.5,442.5,438.5,438.7,438.7,139150000,,,Bajista,
1990-01-18,436.2,437.8,435.6,437.5,437.5,136330000,,,Bajista,
1990-01-19,440.5,441.2,439.2,440.9,440.9,152170000,28.41,,Bajista,infravalorado
1990-01-22,439.7,440.7,431.7,431.9,431.9,130490000,20.55,,Bajista,infravalorado
1990-01-23,432.5,433.8,428.9,430.4,430.4,141440000,19.58,,Bajista,infravalorado
1990-01-24,419.9,427.2,419.8,425.7,425.7,163430000,16.88,,Bajista,infravalorado
1990-01-25,428.3,429.0,425.1,425.2,425.2,130500000,16.62,,Bajista,infravalorado
1990-01-26,424.2,425.9,419.5,421.3,421.3,136340000,14.7,,Bajista,infravalorado
1990-01-29,422.8,422.9,416.5,418.1,418.1,118590000,13.34,438.03,Bajista,infravalorado
1990-01-30,416.2,417.5,410.0,410.7,410.7,160160000,10.84,435.43,Bajista,infravalorado
1990-01-31,412.2,415.9,411.3,415.8,415.8,148000000,21.72,433.56,Bajista,infravalorado
1990-02-01,416.8,417.9,416.2,417.8,417.8,135470000,25.56,432.06,Bajista,infravalorado
1990-02-02,418.8,423.3,417.6,422.2,422.2,135020000,33.3,431.12,Bajista,neutral
1990-02-05,422.9,424.8,422.4,424.7,424.7,108350000,37.3,430.51,Bajista,neutral
1990-02-06,425.0,425.2,422.2,424.0,424.0,119700000,36.63,429.89,Bajista,neutral
1990-02-07,422.0,426.9,421.8,426.8,426.8,149300000,41.13,429.59,Bajista,neutral
1990-02-08,428.8,430.2,427.1,427.3,427.3,140030000,41.92,429.38,Bajista,neutral
1990-02-09,428.7,429.1,427.5,428.8,428.8,125330000,44.34,429.32,Bajista,neutral
1990-02-12,428.8,428.8,425.8,426.4,426.4,113030000,41.37,429.04,Bajista,neutral
1990-02-13,425.3,427.0,423.9,425.8,425.8,127230000,40.64,428.73,Bajista,neutral
1990-02-14,426.8,427.2,425.5,426.6,426.6,139540000,42.11,428.53,Bajista,neutral
1990-02-15,426.3,429.7,425.9,429.6,429.6,152380000,47.38,428.63,Bajista,neutral
1990-02-16,430.0,430.9,428.9,429.0,429.0,120220000,46.47,428.67,Bajista,neutral
1990-02-20,425.4,427.9,421.8,423.8,423.8,108280000,39.4,428.2,Bajista,neutral
1990-02-21,418.9,421.9,418.4,421.5,421.5,120100000,36.73,427.57,Bajista,neutral
1990-02-22,422.6,425.1,422.2,422.8,422.8,134870000,39.24,427.11,Bajista,neutral
1990-02-23,421.1,421.5,418.1,419.5,419.5,117220000,35.41,426.39,Bajista,neutral
1990-02-26,419.5,421.0,418.7,421.0,421.0,114600000,38.35,425.87,Bajista,neutral
1990-02-27,422.1,423.5,421.4,422.6,422.6,130850000,41.42,425.56,Bajista,neutral
1990-02-28,423.3,425.8,422.6,425.8,425.8,129400000,47.09,425.58,Bajista,neutral
1990-03-01,425.3,427.7,424.5,427.2,427.2,134240000,49.39,425.74,Bajista,neutral
1990-03-02,428.2,431.0,427.6,431.0,431.0,132370000,55.11,426.24,Alcista,neutral
1990-03-05,430.8,431.2,429.4,430.2,430.2,111000000,53.74,426.62,Alcista,neutral
1990-03-06,429.3,432.6,428.6,432.3,432.3,139150000,56.79,427.16,Alcista,neutral
1990-03-07,433.1,433.5,432.1,432.5,432.5,167550000,57.08,427.67,Alcista,neutral
1990-03-08,433.6,436.6,432.6,436.5,436.5,145730000,62.51,428.51,Alcista,neutral
1990-03-09,437.0,437.1,435.4,436.8,436.8,135120000,62.89,429.3,Alcista,neutral
1990-03-12,435.3,436.6,435.0,436.6,436.6,103840000,62.43,429.99,Alcista,neutral
1990-03-13,436.1,437.0,434.6,434.6,434.6,123620000,57.94,430.43,Alcista,neutral
1990-03-14,435.7,436.4,434.5,436.2,436.2,122180000,60.39,430.98,Alcista,neutral
1990-03-15,436.7,438.4,436.3,438.1,438.1,128680000,63.15,431.66,Alcista,neutral
1990-03-16,440.4,443.1,439.6,442.2,442.2,176040000,68.27,432.66,Alcista,neutral
1990-03-19,440.4,442.9,439.0,442.9,442.9,129400000,69.06,433.64,Alcista,neutral
1990-03-20,443.2,443.3,439.7,440.1,440.1,142220000,62.36,434.25,Alcista,neutral
1990-03-21,439.6,440.9,439.2,439.3,439.3,131080000,60.56,434.73,Alcista,neutral
1990-03-22,439.2,439.3,433.2,434.5,434.5,146220000,51.01,434.71,Bajista,neutral
1990-03-23,436.1,437.8,435.2,437.3,437.3,130740000,55.42,434.96,Alcista,neutral
1990-03-26,438.8,440.0,438.1,438.8,438.8,96280000,57.63,435.32,Alcista,neutral
1990-03-27,437.7,439.7,437.0,439.5,439.5,106910000,58.65,435.72,Alcista,neutral
1990-03-28,437.0,439.2,435.7,436.7,436.7,132260000,53.11,435.82,Alcista,neutral
1990-03-29,436.2,436.7,434.6,435.4,435.4,124190000,50.71,435.78,Bajista,neutral
1990-03-30,434.7,436.0,433.2,435.5,435.5,126630000,50.89,435.75,Bajista,neutral
1990-04-02,431.6,434.1,430.8,433.2,433.2,111380000,46.59,435.51,Bajista,neutral
1990-04-03,434.7,437.7,434.0,437.7,437.7,134750000,54.66,435.72,Alcista,neutral
