,Anio,Close,Rendimiento
0,1990,359.69,-0.09
1,1991,326.45,0.28
2,1992,417.26,0.04
3,1993,435.38,0.07
4,1994,465.44,-0.01
5,1995,459.11,0.35
6,1996,620.73,0.19
7,1997,737.01,0.32
8,1998,975.04,0.26
9,1999,1228.1,0.18
10,2000,1455.22,-0.12
11,2001,1283.27,-0.1
12,2002,1154.67,-0.21
13,2003,909.03,0.22
14,2004,1108.48,0.08
15,2005,1202.08,0.06
16,2006,1268.8,0.12
17,2007,1416.6,0.02
18,2008,1447.16,-0.36
19,2009,931.8,0.22
20,2010,1132.99,0.12
21,2011,1271.87,0.0
22,2012,1277.06,0.15
23,2013,1462.42,0.25
24,2014,1831.98,0.12
25,2015,2058.2,-0.02
26,2016,2012.66,0.12
27,2017,2257.83,0.19
28,2018,2695.81,-0.07
29,2019,2510.03,0.3
30,2020,3257.85,0.14
31,2021,3700.65,0.3
32,2022,4796.56,-0.2
33,2023,3824.14,
