Date,Open,High,Low,Close,Adj Close,Volume,rsi,ema,Tendencia,rsi_estado
1990-01-02,7.94,7.94,7.94,7.94,7.94,0,,,Bajista,
1990-01-03,7.99,7.99,7.99,7.99,7.99,0,,,Bajista,
1990-01-04,7.98,7.98,7.98,7.98,7.98,0,,,Bajista,
1990-01-05,7.99,7.99,7.99,7.99,7.99,0,,,Bajista,
1990-01-08,8.02,8.02,8.02,8.02,8.02,0,,,Bajista,
1990-01-09,8.02,8.02,8.02,8.02,8.02,0,,,Bajista,
1990-01-10,8.03,8.03,8.03,8.03,8.03,0,,,Bajista,
1990-01-11,8.04,8.04,8.04,8.04,8.04,0,,,Bajista,
1990-01-12,8.1,8.1,8.1,8.1,8.1,0,,,Bajista,
1990-01-16,8.2,8.2,8.2,8.2,8.2,0,,,Bajista,
1990-01-17,8.19,8.19,8.19,8.19,8.19,0,,,Bajista,
1990-01-18,8.32,8.32,8.32,8.32,8.32,0,,,Bajista,
1990-01-19,8.26,8.26,8.26,8.26,8.26,0,,,Bajista,
1990-01-22,8.27,8.27,8.27,8.27,8.27,0,81.02,,Bajista,sobrevalorado
1990-01-23,8.26,8.26,8.26,8.26,8.26,0,78.66,,Bajista,sobrevalorado
1990-01-24,8.38,8.38,8.38,8.38,8.38,0,84.5,,Bajista,sobrevalorado
1990-01-25,8.42,8.42,8.42,8.42,8.42,0,85.88,,Bajista,sobrevalorado
1990-01-26,8.49,8.49,8.49,8.49,8.49,0,87.92,,Bajista,sobrevalorado
1990-01-29,8.5,8.5,8.5,8.5,8.5,0,88.18,,Bajista,sobrevalorado
1990-01-30,8.51,8.51,8.51,8.51,8.51,0,88.45,8.25,Alcista,sobrevalorado
1990-01-31,8.43,8.43,8.43,8.43,8.43,0,73.91,8.27,Alcista,sobrevalorado
1990-02-01,8.42,8.42,8.42,8.42,8.42,0,72.31,8.28,Alcista,sobrevalorado
1990-02-02,8.5,8.5,8.5,8.5,8.5,0,76.66,8.3,Alcista,sobrevalorado
1990-02-05,8.53,8.53,8.53,8.53,8.53,0,78.06,8.32,Alcista,sobrevalorado
1990-02-06,8.57,8.57,8.57,8.57,8.57,0,79.79,8.35,Alcista,sobrevalorado
1990-02-07,8.52,8.52,8.52,8.52,8.52,0,72.12,8.36,Alcista,sobrevalorado
1990-02-08,8.49,8.49,8.49,8.49,8.49,0,67.91,8.38,Alcista,neutral
1990-02-09,8.31,8.31,8.31,8.31,8.31,0,49.29,8.37,Bajista,neutral
1990-02-12,8.4,8.4,8.4,8.4,8.4,0,55.82,8.37,Alcista,neutral
1990-02-13,8.35,8.35,8.35,8.35,8.35,0,51.83,8.37,Bajista,neutral
1990-02-14,8.36,8.36,8.36,8.36,8.36,0,52.56,8.37,Bajista,neutral
1990-02-15,8.43,8.43,8.43,8.43,8.43,0,57.42,8.38,Alcista,neutral
1990-02-16,8.42,8.42,8.42,8.42,8.42,0,56.53,8.38,Alcista,neutral
1990-02-20,8.62,8.62,8.62,8.62,8.62,0,67.43,8.4,Alcista,neutral
1990-02-21,8.62,8.62,8.62,8.62,8.62,0,67.43,8.42,Alcista,neutral
1990-02-22,8.54,8.54,8.54,8.54,8.54,0,60.4,8.43,Alcista,neutral
1990-02-23,8.53,8.53,8.53,8.53,8.53,0,59.57,8.44,Alcista,neutral
1990-02-26,8.46,8.46,8.46,8.46,8.46,0,53.94,8.44,Alcista,neutral
1990-02-27,8.41,8.41,8.41,8.41,8.41,0,50.29,8.44,Bajista,neutral
1990-02-28,8.51,8.51,8.51,8.51,8.51,0,56.62,8.45,Alcista,neutral
1990-03-01,8.59,8.59,8.59,8.59,8.59,0,60.9,8.46,Alcista,neutral
1990-03-02,8.54,8.54,8.54,8.54,8.54,0,57.11,8.47,Alcista,neutral
1990-03-05,8.65,8.65,8.65,8.65,8.65,0,62.63,8.49,Alcista,neutral
1990-03-06,8.59,8.59,8.59,8.59,8.59,0,58.23,8.5,Alcista,neutral
1990-03-07,8.58,8.58,8.58,8.58,8.58,0,57.5,8.5,Alcista,neutral
1990-03-08,8.57,8.57,8.57,8.57,8.57,0,56.74,8.51,Alcista,neutral
1990-03-09,8.65,8.65,8.65,8.65,8.65,0,61.17,8.52,Alcista,neutral
1990-03-12,8.63,8.63,8.63,8.63,8.63,0,59.53,8.53,Alcista,neutral
1990-03-13,8.73,8.73,8.73,8.73,8.73,0,64.64,8.55,Alcista,neutral
1990-03-14,8.65,8.65,8.65,8.65,8.65,0,58.3,8.56,Alcista,neutral
1990-03-15,8.66,8.66,8.66,8.66,8.66,0,58.84,8.57,Alcista,neutral
1990-03-16,8.59,8.59,8.59,8.59,8.59,0,53.58,8.57,Alcista,neutral
1990-03-19,8.59,8.59,8.59,8.59,8.59,0,53.58,8.57,Alcista,neutral
1990-03-20,8.54,8.54,8.54,8.54,8.54,0,49.88,8.57,Bajista,neutral
1990-03-21,8.55,8.55,8.55,8.55,8.55,0,50.61,8.57,Bajista,neutral
1990-03-22,8.53,8.53,8.53,8.53,8.53,0,49.07,8.57,Bajista,neutral
1990-03-23,8.52,8.52,8.52,8.52,8.52,0,48.27,8.56,Bajista,neutral
1990-03-26,8.51,8.51,8.51,8.51,8.51,0,47.44,8.56,Bajista,neutral
1990-03-27,8.52,8.52,8.52,8.52,8.52,0,48.4,8.55,Bajista,neutral
1990-03-28,8.51,8.51,8.51,8.51,8.51,0,47.47,8.55,Bajista,neutral
1990-03-29,8.6,8.6,8.6,8.6,8.6,0,55.69,8.55,Alcista,neutral
1990-03-30,8.65,8.65,8.65,8.65,8.65,0,59.49,8.56,Alcista,neutral
1990-04-02,8.65,8.65,8.65,8.65,8.65,0,59.49,8.57,Alcista,neutral
1990-04-03,8.63,8.63,8.63,8.63,8.63,0,57.21,8.58,Alcista,neutral
1990-04-04,8.55,8.55,8.55,8.55,8.55,0,49.13,8.57,Bajista,neutral
1990-04-05,8.57,8.57,8.57,8.57,8.57,0,50.99,8.57,Bajista,neutral
1990-04-06,8.56,8.56,8.56,8.56,8.56,0,50.01,8.57,Bajista,neutral
1990-04-09,8.59,8.59,8.59,8.59,8.59,0,52.95,8.57,Alcista,neutral
1990-04-10,8.6,8.6,8.6,8.6,8.6,0,53.92,8.58,Alcista,neutral
1990-04-11,8.63,8.63,8.63,8.63,8.63,0,56.81,8.58,Alcista,neutral
1990-04-12,8.64,8.64,8.64,8.64,8.64,0,57.76,8.59,Alcista,neutral
1990-04-16,8.68,8.68,8.68,8.68,8.68,0,61.41,8.6,Alcista,neutral
1990-04-17,8.77,8.77,8.77,8.77,8.77,0,68.1,8.61,Alcista,neutral
1990-04-18,8.86,8.86,8.86,8.86,8.86,0,73.12,8.64,Alcista,sobrevalorado
1990-04-19,8.87,8.87,8.87,8.87,8.87,0,73.62,8.66,Alcista,sobrevalorado
1990-04-20,8.95,8.95,8.95,8.95,8.95,0,77.24,8.69,Alcista,sobrevalorado
1990-04-23,8.98,8.98,8.98,8.98,8.98,0,78.44,8.71,Alcista,sobrevalorado
1990-04-24,9.0,9.0,9.0,9.0,9.0,0,79.22,8.74,Alcista,sobrevalorado
1990-04-25,9.01,9.01,9.01,9.01,9.01,0,79.62,8.77,Alcista,sobrevalorado
1990-04-26,9.07,9.07,9.07,9.07,9.07,0,81.87,8.8,Alcista,sobrevalorado
