,date,rendimiento,duration,grupo
0,jul 1926,152,37,bulls
1,mar 1935,129,23,bulls
2,abr 1942,158,49,bulls
3,jun 1949,267,85,bulls
4,oct 1960,39,12,bulls
5,oct 1962,76,39,bulls
6,oct 1966,48,25,bulls
7,may 1970,74,31,bulls
8,mar 1978,62,32,bulls
9,ago 1982,229,60,bulls
10,oct 1990,417,113,bulls
11,oct 2002,101,60,bulls
12,mar 2009,401,131,bulls
13,mar 2020,114,21,bulls
14,sept 1929,-86,32,bears
15,mar 1937,-60,61,bears
16,may 1946,-30,36,bears
17,ago 1956,-22,14,bears
18,dic 1961,-28,6,bears
19,feb 1966,-22,7,bears
20,nov 1968,-36,17,bears
21,ene 1973,-48,20,bears
22,nov 1980,-27,20,bears
23,ago 1987,-34,3,bears
24,mar 2000,-49,30,bears
25,oct 2007,-57,17,bears
26,feb 2020,-34,1,bears
27,ene 2022,-25,9,bears
