Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,% del S&P500
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,138721055226,9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,0.557876320268734
AOS,A.O. Smith Corp,Industrials,60.24,27.76,1.1479592,1.7,68.39,48.925,10783419933,601000000.0,3.5754826,6.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS,0.04336626925403488
ABT,Abbott Laboratories,Health Care,56.27,22.51,1.9089824,0.26,64.6,42.28,102121042306,5744000000.0,3.7404804,3.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT,0.41068683633399244
ABBV,AbbVie Inc.,Health Care,108.48,19.41,2.4995599,3.29,125.86,60.05,181386347059,10310000000.0,6.291571,26.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV,0.7294577429461229
ACN,Accenture plc,Information Technology,150.51,25.47,1.7144699,5.44,162.6,114.82,98765855553,5643228000.0,2.604117,10.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN,0.3971937206960772
ATVI,Activision Blizzard,Information Technology,65.83,31.8,0.43190324,1.28,74.945,38.93,52518668144,2704000000.0,10.59512,5.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI,0.2112074571654362
AYI,Acuity Brands Inc,Industrials,145.41,18.22,0.35118526,7.43,225.36,142.0,6242377704,587800000.0,1.7953473,3.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI,0.02510415378229044
ADBE,Adobe Systems Inc,Information Technology,185.16,52.31,0.0,3.39,204.45,114.451,94550214268,2538040000.0,13.092818,11.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE,0.38024022763176
AAP,Advance Auto Parts,Consumer Discretionary,109.63,19.54,0.21832074,6.19,169.55,78.81,8123611867,853941000.0,1.1301061,2.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP,0.03266966711196102
AMD,Advanced Micro Devices Inc,Information Technology,11.22,187.0,0.0,0.03,15.65,9.7,11191663795,339000000.0,2.1091955,21.47,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD,0.04500805018724516
AES,AES Corp,Utilities,10.06,9.96,4.961832,-1.72,12.05,10.0,6920851212,3001000000.0,0.65951383,2.2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES,0.02783268193128853
AET,Aetna Inc,Health Care,178.0,18.11,1.101989,5.75,194.4,119.51,59197016353,4139000000.0,0.9923546,3.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET,0.23806489649388154
AMG,Affiliated Managers Group Inc,Financials,179.11,12.24,0.6387395,12.07,216.995,148.81,10442174371,1261400000.0,4.591235,2.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG,0.041993926619195154
AFL,AFLAC Inc,Financials,83.25,12.24,2.4299066,11.01,91.73,68.8,33422948000,0.0,1.5429344,1.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL,0.13441269757064617
A,Agilent Technologies Inc,Health Care,65.05,27.45,0.8756979,2.1,75.0,49.23,21984606918,1094000000.0,6.493563,4.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A,0.08841261760867622
APD,Air Products & Chemicals Inc,Materials,152.8,24.22,2.7811136,13.66,175.17,133.6301,34638387128,2542500000.0,4.1163683,3.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD,0.1393006701075808
AKAM,Akamai Technologies Inc,Information Technology,62.49,32.55,0.0,1.79,69.56,44.65,10906904066,789517000.0,5.8546524,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM,0.043862869237486446
ALK,Alaska Air Group Inc,Industrials,64.04,9.66,1.9928383,8.28,101.43,59.25,7903173734,1665000000.0,0.9801092,2.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK,0.03178315991026335
ALB,Albemarle Corp,Materials,105.18,26.03,1.2004126,5.66,144.99,90.35,11782151266,686030000.0,5.3666205,2.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB,0.04738273640160239
ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,19.03,3.0262272,1.57,134.37,106.89,12043374429,0.0,10.492155,2.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE,0.048433263422940145
ALXN,Alexion Pharmaceuticals,Health Care,108.47,22.18,0.0,1.77,149.34,96.18,26172439795,1072000000.0,9.720562,2.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN,0.10525427723644484
ALGN,Align Technology,Health Care,220.71,56.59,0.0,2.84,287.32,92.61,18788041378,380326000.0,13.138819,16.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN,0.0755574081522043
ALLE,Allegion,Industrials,77.32,21.07,0.8004002,2.37,89.81,66.72,7599609494,531800000.0,4.265232,20.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE,0.030562355318628186
AGN,"Allergan, Plc",Health Care,164.2,10.65,1.643289,38.35,256.8,160.07,56668833898,-2888100000.0,4.820115,0.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN,0.22789763585226103
ADS,Alliance Data Systems,Information Technology,240.6,13.02,0.9240122,14.13,278.33,209.0,13632608582,2143200000.0,1.7282298,8.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS,0.05482447851193023
LNT,Alliant Energy Corp,Utilities,37.14,19.86,3.5733333,1.65,45.55,36.84,8670163500,1168400000.0,3.4331481,2.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT,0.0348676623143343
ALL,Allstate Corp,Financials,90.06,13.26,1.5278208,4.68,105.36,77.73,34759468905,0.0,1.2085556,1.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL,0.13978760885018415
GOOGL,Alphabet Inc Class A,Information Technology,1007.71,31.48,0.0,22.27,1198.0,824.3,733823966137,34217000000.0,6.801692,4.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL,2.9511238455226834
GOOG,Alphabet Inc Class C,Information Technology,1001.52,40.29,0.0,22.27,1186.89,803.1903,728535558140,32714000000.0,6.772653,4.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG,2.9298561469124067
MO,Altria Group Inc,Consumer Staples,64.05,18.89,3.9526875,5.31,77.79,60.01,126985101434,10773000000.0,4.945682,10.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO,0.5106793702047487
AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,296.16,0.0,6.16,1498.0,812.5,685873374731,16132000000.0,3.927053,24.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN,2.7582872249771735
AEE,Ameren Corp,Utilities,52.59,20.38,3.4404964,2.68,64.89,51.81,12905744906,2298000000.0,2.693119,1.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE,0.051901345954704095
AAL,American Airlines Group,Industrials,48.6,9.92,0.7782101,3.91,59.08,39.21,24594852352,5761000000.0,0.58022565,6.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL,0.09890990019743537
AEP,American Electric Power,Utilities,63.38,17.32,3.8479443,1.24,78.07,62.69,31701916517,4450800000.0,2.7489934,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP,0.12749145040136478
AXP,American Express Co,Financials,88.34,15.0,1.4955667,2.9,102.385,75.51,80410990000,0.0,2.273575,3.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP,0.3233783590910728
AIG,"American International Group, Inc.",Financials,58.28,23.22,2.1167521,-0.76,67.3,57.85,54360073164,0.0,1.4686536,0.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG,0.21861279484116516
AMT,American Tower Corp A,Real Estate,133.57,20.68,2.0,1.97,155.28,103.36,59213892640,3792383000.0,11.954137,9.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT,0.23813276564954808
AWK,American Water Works Company Inc,Utilities,76.06,26.23,2.129297,2.63,92.37,71.89,13906146184,1711000000.0,5.553833,2.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK,0.05592452890161537
AMP,Ameriprise Financial,Financials,152.5,12.41,2.0735743,9.44,183.9,118.84,23472126000,0.0,1.9493247,3.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP,0.09439477850302434
ABC,AmerisourceBergen Corp,Health Care,91.55,15.54,1.6132456,1.64,106.27,71.9,20587704101,991884000.0,0.17396984,9.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABC,0.08279487629282925
AME,AMETEK Inc,Industrials,72.05,27.61,0.75512403,2.94,78.51,51.31,17139651923,1025763000.0,4.015368,4.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME,0.0689282959238767
AMGN,Amgen Inc,Health Care,173.12,13.76,2.9751508,2.57,201.23,152.16,128133340000,11945000000.0,5.58192,3.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN,0.5152970910326874
APH,Amphenol Corp,Information Technology,84.44,25.9,0.8608971,2.05,93.62,67.26,26955335395,1671700000.0,3.85675,6.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH,0.10840274605230721
APC,Anadarko Petroleum Corp,Energy,56.2,-21.29,1.7029973,-5.9,70.0,39.96,32129091747,3115000000.0,3.9682212,2.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APC,0.1292093651406529
ADI,"Analog Devices, Inc.",Information Technology,82.68,17.67,2.108963,2.11,98.38,74.65,31811578855,1663384000.0,8.00391,3.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI,0.12793246508003656
ANDV,Andeavor,Energy,96.9,18.78,2.3454583,6.13,121.71,75.11,15696449735,2548000000.0,0.6618165,1.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANDV,0.06312435848457784
ANSS,ANSYS,Information Technology,148.84,42.53,0.0,2.99,164.9,94.52,13155919129,458515000.0,16.8134,5.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS,0.052907438899469784
ANTM,Anthem Inc.,Health Care,230.57,19.23,1.2581781,14.36,267.95,156.81,61221978627,0.0,0.6696521,2.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANTM,0.24620842236500248
AON,Aon plc,Financials,136.05,20.8,1.0245464,4.66,152.78,113.2201,35123123422,1858000000.0,3.4972682,6.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON,0.14125007064780057
APA,Apache Corporation,Energy,37.73,-251.53,2.528445,-3.72,57.9,38.14,15066280977,3265000000.0,3.651366,2.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA,0.06059009122941161
AIV,Apartment Investment & Management,Real Estate,38.21,15.6,3.876562,1.95,46.855,38.85,6156884142,874871000.0,6.187621,4.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIV,0.024760335508290692
AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020,79386000000.0,3.4586093,5.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL,3.25549256031331
